Title,ID
Mandukya Upanishad - 1 by Pravrajika Divyanandaprana,TSV_QDDb8qU
Mandukya Upanishad - 2 by Pravrajika Divyanandaprana,gFAcfkpeqpQ
Mandukya Upanishad - 3 by Pravrajika Divyanandaprana,8sX0yI_9pvA
Mandukya Upanishad - 4 by Pravrajika Divyanandaprana,MEKe1sS2960
Mandukya Upanishad - 5 by Pravrajika Divyanandaprana,v5fmNlrTSGI
