Title,ID
Karma Yoga: The Path of Action (Part 1) | Swami Sarvapriyananda,-rgNWIeF9Qo&list=PLBQKFO7zO2sGPdqCNNEhHO95LAe8sIKpM
Karma Yoga: The Path of Action (Part 2) | Swami Sarvapriyananda,n-SUJ0Vwelk&list=PLBQKFO7zO2sGPdqCNNEhHO95LAe8sIKpM&index=2
Bhakti Yoga: The Path of Devotion | Swami Sarvapriyananda,dDIdHh2-mF8&list=PLBQKFO7zO2sGPdqCNNEhHO95LAe8sIKpM&index=3
Jnana Yoga: The Path of Knowledge | Swami Sarvapriyananda,EijmfagFw20&list=PLBQKFO7zO2sGPdqCNNEhHO95LAe8sIKpM&index=4
Raja Yoga: The Path of Meditation (Part 1) | Swami Sarvapriyananda,Bj5_lNQdJPw&list=PLBQKFO7zO2sGPdqCNNEhHO95LAe8sIKpM&index=5
Raja Yoga: The Path of Meditation (Part 2) | Swami Sarvapriyananda,e9uBaJEKgOw&list=PLBQKFO7zO2sGPdqCNNEhHO95LAe8sIKpM&index=6
