Title,ID
35. Shanti Gita - Class 35 - Verses 12-15,1d-jJMH8CRA&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=57
36. Shanti Gita - Class 36 - Chapter 4 - Verses 16-17,gLHLk-uUVyU&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=56
37. Shanti Gita - Class 37 - Chapter 4 - Verses 18-20,ZiFfh7yupB4&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=55
38. Shanti Gita - Class 38 - Chapter 4 - Verses 22 - 26,xnQv_REqYfA&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=54
39. Shanti Gita - Class 39 - Chapter 4 - Verses 27 - 30,lIcgKzBWUhc&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=53
40. Shanti Gita - Class 40 - Chapter 4 - Verses 31-34,1T0l0P7lLtQ&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=52
41. Shanti Gita - Class 41 - Chapter 4 - Verses 35-38,jDpzZKxJk4w&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=51
42. Shanti Gita - Class 42 - Chapter 4 - Verse 39,CQ9h3aC8ITQ&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=50
43. Shanti Gita - Class 43 - Chapter 4 - Verses 41-42,3e-Vta3HsTQ&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=49
44. Shanti Gita - Class 44 - Chapter 4 - Verses 43-46,1sxUmsk9XGM&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=48
45. Shanti Gita - Class 45 - Chapter 4 - Verses 47,BpuDm9MC0Ws&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=47
46. Shanti Gita - Class 46 - Chapter 5 - Verses 1-4,3JnAJH8yPps&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=46
47. Shanti Gita - Class 47 - Chapter 5 - Verses 5-7,1oHiC-t70FE&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=45
48. Shanti Gita - Class 48 - Chapter 5 - Verses 8-9,jn8L956vrcA&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=44
49. Shanti Gita - Class 49 - Chapter 5 - Verse 10,73F-OU5fb5o&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=43
50. Shanti Gita - Class 50 - Chapter 5 - Verses 11-13,C-o9bbciCtc&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=42
51. Shanti Gita - Class 51 - Chapter 5 - Verses 14-17,ItxLcF_Sy0s&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=41
52. Shanti Gita - Class 52 - Chapter 5 - Verses 18-22,l4WBd9rbi9c&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=40
53. Shanti Gita - Class 53 - Verses 23-25,ekbcoYiGotQ&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=39
54. Shanti Gita - Class 54 - Verses 25 - 28,hQkvx-tBY0w&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=38
55. Shanti Gita - Class 55 - Verses 29,JmY6KpxVIfs&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=37
