Title,ID
36. Bhagavad Gita l Chapter 3 Verse 30 l Swami Sarvapriyananda,EunxN1rbjO4&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=36
37. Bhagavad Gita I Chapter 3 Verse 31 I Swami Sarvapriyananda,ZoC7qeGGO8I&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=37
38. Bhagavad Gita I Chapter 3 Verses 32-34 I Swami Sarvapriyananda,7yuZg5oVHLA&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=38
39. Bhagavad Gita I Chapter 3 Verses 35-37 I Swami Sarvapriyananda,irzFOe-G1IU&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=39
40. Bhagavad Gita I Chapter 3 Verses 38-39 I Swami Sarvapriyananda,PWfEEzBJw98&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=40
41. Bhagavad Gita I Chapter 3 Verses 40-42 I Swami Sarvapriyananda,fZd7tvSwbJg&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=41
42. Bhagavad Gita I Chapter 3 Verse 43 - Ch3 Overview I Swami Sarvapriyananda,qmB-SJeiaQE&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=42
43. Bhagavad Gita I Chapter 4 Verses 1-3 I Swami Sarvapriyananda,nAoBUBNqpkE&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=43
44. Bhagavad Gita I Chapter 4 Verses 4-6 I Swami Sarvapriyananda,4Yw1soBdQjE&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=44
45. Bhagavad Gita I Chapter 4 Verses 7-8 I Swami Sarvapriyananda,gPtdb9xMcVA&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=45
46. Bhagavad Gita I Chapter 4 Verses 9-10 I Swami Sarvapriyananda,z5LNNzJnV1Y&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=46
47. Bhagavad Gita I Chapter 4 Verses 11-13 I Swami Sarvapriyananda,mA6FWFLdRN8&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=47
48. Bhagavad Gita I Chapter 4 Verses 14-17 I Swami Sarvapriyananda,8nR4tpOg9RM&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=48
49. Bhagavad Gita I Chapter 4 Verse 18 I Swami Sarvapriyananda,eW6AZ1nE5nI&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=49
50. Bhagavad Gita I Chapter 4 Verse 19 I Swami Sarvapriyananda,pJYvv90iGDw&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=50
51. Bhagavad Gita I Chapter 4 Verses 20-22 I Swami Sarvapriyananda,EbCsYnJqvzc&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=51
52. Bhagavad Gita I Chapter 4 Verses 23-24 I Swami Sarvapriyananda,HsC5O4freys&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=52
53. Bhagavad Gita I Chapter 4 Verses 25-28 I Swami Sarvapriyananda,8PBuEYy4yCo&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=53
54. Bhagavad Gita I Chapter 4 Verses 29-30 I Swami Sarvapriyananda,K70WGSObrvQ&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=54
55. Bhagavad Gita I Chapter 4 Verses 31-32 I Swami Sarvapriyananda,6vfdQqPmjc0&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=55
56. Bhagavad Gita I Chapter 4 Verses 33-34 I Swami Sarvapriyananda,Hsd1phDMYHA&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=56
57. Bhagavad Gita I Chapter 4 Verses 35-37 I Swami Sarvapriyananda,1J-fixXl_O8&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=57
58. Bhagavad Gita I Chapter 4 Verses 38-41 I Swami Sarvapriyananda,eELi5tn_IXY&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=58
59. Bhagavad Gita I Chapter 4 Verse 42 and Chapter 4 Summary I Swami Sarvapriyananda,VsI4__iRQcw&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=59
60. Bhagavad Gita I Chapter 5 Verse 1 I Swami Sarvapriyananda,JCnUP6e7vFc&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=60
61. Bhagavad Gita I Chapter 5 Verses 2-4 I Swami Sarvapriyananda,0BDk-0oAITY&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=61
62. Bhagavad Gita I Chapter 5 Verses 5-6 I Swami Sarvapriyananda,6yyhBl9vhCk&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=62
63. Bhagavad Gita I Chapter 5 Verses 7-10 I Swami Sarvapriyananda,_rLp5OS0QfM&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=63
64. Bhagavad Gita I Chapter 5 Verses 10-12 I Swami Sarvapriyananda,2QH4se3DmKI&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=64
